transaction_id,user_id,date,amount,merchant,category,mcc,status
45,20,2025-10-10,1197.59,Услуги_покупок/шоппинга_Store_98,Услуги покупок/шоппинга,7278,not green
46,33,2025-08-28,181.49,Агентства_по_аренде_автомобилей_Store_44,Агентства по аренде автомобилей,3373,not green
47,8,2025-07-30,205.35,Лесо- и_строительный_материал_Store_14,Лесо- и строительный материал,5211,not green
48,25,2025-06-14,352.2,"Секонд-хенды,_магазины_б/у_товаров,_комиссионки_Store_12","Секонд-хенды, магазины б/у товаров, комиссионки",5931,green
49,46,2025-06-09,145.04,Клубы_видеоигр_Store_49,,,
50,9,2025-08-29,510.51,Carnival_Airlines_Store_13,Carnival Airlines,3086,not green
51,34,2025-07-23,1695.79,Начальная_и_средняя_школы_Store_46,Начальная и средняя школы,8211,green
52,23,2025-10-08,582.88,Hoshino_Resorts_Store_45,Hoshino Resorts,3837,not green
53,5,2025-08-23,1126.81,Столярные_работы_Store_78,Столярные работы,1750,not green
54,25,2025-08-31,107.7,Iner_Nor_Hotels_Store_34,,,
55,8,2025-09-19,243.88,Категория_неизвестна_Store_6,,,
56,16,2025-11-19,60.54,Агентства_по_аренде_автомобилей_Store_94,Агентства по аренде автомобилей,3377,not green
57,48,2025-06-08,379.03,"Отели,_мотели,_курорты_Store_59","Отели, мотели, курорты",3767,not green
58,45,2025-11-22,3576.09,"Агентства_по_автотранспортным_перевозкам,_местные/_дальные_автогрузоперевозки,_компании_попереезду_и_хранению,_местная_доставка_Store_69","Агентства по автотранспортным перевозкам, местные/ дальные автогрузоперевозки, компании попереезду и хранению, местная доставка",4214,not green
59,15,2025-07-05,2370.16,Агентства_по_аренде_автомобилей_Store_16,Агентства по аренде автомобилей,3404,not green
60,1,2025-08-20,593.7,Различные_специализированные_магазины_бытовых_принадлежностей_Store_49,Различные специализированные магазины бытовых принадлежностей,5719,not green
61,22,2025-11-11,437.36,Dorint_Hotels_Store_11,Dorint Hotels,3623,not green
62,3,2025-07-20,652.24,Merlin_Hotels_Store_71,Merlin Hotels,3622,not green
63,38,2025-09-12,124.13,Iberotel_Hotels_Store_38,Iberotel Hotels,3540,not green
64,14,2025-10-10,514.88,Maritim_Hotels_Store_81,Maritim Hotels,3668,not green
65,36,2025-06-02,47.26,Веломагазины_–_продажа_и_обслуживание_Store_80,Веломагазины – продажа и обслуживание,5940,green
66,18,2025-10-12,31.29,Tan_Airlines_Store_47,,3125,not green
67,47,2025-07-24,285.32,Агентства_по_аренде_автомобилей_Store_74,Агентства по аренде автомобилей,3380,not green
68,41,2025-09-14,4332.08,LADECO_(Чили)_Store_25,LADECO (Чили),3054,not green
69,18,2025-06-04,2135.12,Air_Mauritius_Store_91,Air Mauritius,3298,not green
70,3,2025-07-24,1267.67,Автобусные_линии_Store_9,Автобусные линии,4131,green
71,10,2025-10-24,410.47,Aria_Store_6,Aria,3824,not green
72,49,2025-07-14,1918.43,"Авиалинии,_авиакомпании_Store_85","Авиалинии, авиакомпании",3081,not green
73,39,2025-11-09,241.74,Lufthansa_Store_30,Lufthansa,3008,not green
74,47,2025-06-14,123.51,Caribbean_Airlines_Store_99,Caribbean Airlines,3234,not green
75,1,2025-09-03,228.05,Лимузины_и_такси_Store_38,Лимузины и такси,4121,green
76,27,2025-07-18,80.92,Публичные_поля_для_гольфа_Store_11,Публичные поля для гольфа,7992,green
77,27,2025-06-15,3890.75,Садовые_принадлежности_(в_том_числе_для_ухода_за_газонами)_в_розницу_Store_30,Садовые принадлежности (в том числе для ухода за газонами) в розницу,5261,green
78,11,2025-07-10,694.4,Агентства_по_аренде_автомобилей_Store_13,Агентства по аренде автомобилей,3407,not green
79,49,2025-08-21,168.9,Магазины_художественных_и_ремесляных изделий_Store_49,Магазины художественных и ремесляных изделий,5970,not green
80,5,2025-09-19,372.71,Продажа_снегоходов_Store_36,Продажа снегоходов,5598,not green
81,7,2025-07-23,361.29,Начальная_и_средняя_школы_Store_59,Начальная и средняя школы,8211,green
82,19,2025-06-24,1693.93,Rio_Suites_Store_82,Rio Suites,3726,not green
83,29,2025-11-01,3782.81,Residence_Inns_Store_47,Residence Inns,3703,not green
84,15,2025-10-02,1194.19,"Спортивная_одежда,_одежда_для_верховой_езды_и_езды_на_мотоцикле_Store_21","Спортивная одежда, одежда для верховой езды и езды на мотоцикле",5655,green
85,35,2025-07-11,847.5,Различные_товары_общего_назначения_Store_48,Различные товары общего назначения,5399,not green
86,47,2025-11-04,555.25,"Образовательные_услуги,__нигде_более_не_классифицированные_Store_46","Образовательные услуги,  нигде более не классифицированные",8299,green
87,37,2025-06-15,452.98,ALM_Antilean_Airlines_Store_27,ALM Antilean Airlines,3252,not green
88,12,2025-07-15,442.35,Электрические_части_и_оборудование_Store_86,Электрические части и оборудование,5065,not green
89,30,2025-08-04,452.09,Queens_Moat_Houses_Store_35,Queens Moat Houses,3645,not green
90,20,2025-08-28,331.0,Adria_Airways_Store_90,Adria Airways,3064,not green
91,37,2025-08-10,257.62,_Major_Rent-a-car_Store_88, Major Rent-a-car,3430,not green
92,3,2025-06-09,139.75,Агентства_по_аренде_автомобилей_Store_83,Агентства по аренде автомобилей,3402,not green
93,9,2025-08-27,319.02,Аптеки_Store_10,Аптеки,5912,green
94,41,2025-10-07,108.71,"Отели,_мотели,_курорты_Store_78","Отели, мотели, курорты",3580,not green
95,39,2025-10-14,229.68,"Обивка,_ремонт_и_отделка_мебели_Store_82","Обивка, ремонт и отделка мебели",7641,not green
96,26,2025-08-02,361.41,"Отели,_мотели,_курорты_Store_22","Отели, мотели, курорты",3788,not green
97,2,2025-10-17,523.24,Flag_Inn_Store_69,Flag Inn,3664,not green
98,23,2025-08-20,514.22,Hotel_Mercure_Store_94,Hotel Mercure,3579,not green
99,23,2025-10-14,661.44,Веломагазины_–_продажа_и_обслуживание_Store_32,Веломагазины – продажа и обслуживание,5940,green
100,21,2025-11-10,607.25,Магазины_репродукций_и_антиквариата_Store_21,Магазины репродукций и антиквариата,5937,not green
101,16,2025-11-10,2424.8,Веломагазины_–_продажа_и_обслуживание_Store_60,Веломагазины – продажа и обслуживание,5940,green
102,9,2025-07-03,2117.22,Philippine_Airlines_Store_49,Philippine Airlines,3022,not green
103,13,2025-10-01,274.65,Кузовной_ремонт_автомобилей_Store_35,Кузовной ремонт автомобилей,7531,not green
104,28,2025-06-05,1011.3,Агентства_по_аренде_автомобилей_Store_82,Агентства по аренде автомобилей,3378,not green
105,27,2025-07-11,338.5,Philippine_Airlines_Store_89,Philippine Airlines,3022,not green
106,17,2025-06-28,75.83,Gol_Airlines_Store_72,,3247,not green
107,38,2025-10-13,784.46,Windward_Island_Store_29,Windward Island,3112,not green
108,36,2025-08-11,238.01,Продажа_мотоциклов_Store_88,,,
109,1,2025-06-12,204.57,State_Banks_(RCL_Internal)_Store_42,State Banks (RCL Internal),6023,not green
110,18,2025-11-09,225.14,Внутригосударственные_закупки_-_только_государственные_Store_99,Внутригосударственные закупки - только государственные,9405,not green
111,9,2025-07-03,189.7,"Авиалинии,_авиакомпании_Store_100","Авиалинии, авиакомпании",3105,not green
112,13,2025-07-18,2521.14,"Отели,_мотели,_курорты_Store_8","Отели, мотели, курорты",3614,not green
113,40,2025-10-29,120.88,Спорттовары_Store_30,Спорттовары,5941,green
114,45,2025-08-01,345.95,Bally’s_Hotel_And_Casino_Store_5,Bally’s Hotel And Casino,3728,not green
115,15,2025-07-07,74.56,Balkan—Bulgarian_Airlines_Store_41,Balkan—Bulgarian Airlines,3041,not green
116,43,2025-09-07,194.1,Budgetel_Hotels_Store_52,Budgetel Hotels,3685,not green
117,44,2025-11-19,108.46,Начальная_и_средняя_школы_Store_35,Начальная и средняя школы,8211,green
118,46,2025-09-12,676.25,"Авиалинии,_авиакомпании_Store_9","Авиалинии, авиакомпании",3140,not green
119,4,2025-07-05,87.91,Агентства_по_аренде_автомобилей_Store_28,Агентства по аренде автомобилей,3356,not green
120,33,2025-09-09,1687.42,Taca_International_Store_73,Taca International,3127,not green
121,24,2025-11-22,108.38,Renaissance_Hotels_Store_92,Renaissance Hotels,3530,not green
122,36,2025-10-09,142.74,_Auto_Host_Cost_Car_Rentals_Store_41, Auto Host Cost Car Rentals,3400,not green
123,41,2025-06-01,791.95,Услуги_пассажирских_перевозок_–_нигде_более_не_классифицированные_Store_28,Услуги пассажирских перевозок – нигде более не классифицированные,4729,not green
124,10,2025-06-05,2639.77,"Аренда_оборудования_и_лизинговые_услуги,_аренда_мебели,_прокат_инструментов_Store_84","Аренда оборудования и лизинговые услуги, аренда мебели, прокат инструментов",7394,not green
125,36,2025-10-20,260.7,"Авиалинии,_авиакомпании_Store_64","Авиалинии, авиакомпании",3114,not green
126,20,2025-09-11,730.95,Спорттовары_Store_51,Спорттовары,5941,green
127,41,2025-06-27,141.94,Emirates_Airlines_Store_83,Emirates Airlines,3026,not green
128,45,2025-10-15,3787957.970233673,Агентства_по_аренде_автомобилей_Store_59,Агентства по аренде автомобилей,3369,not green
129,44,2025-06-15,361.9,Continental_Store_19,Continental,3061,not green
130,11,2025-08-29,176.33,Air_British_Columbia_Store_34,Air British Columbia,3071,not green
131,12,2025-07-12,1261.91,Начальная_и_средняя_школы_Store_18,Начальная и средняя школы,8211,green
132,18,2025-10-02,899.69,The_Palace_Hotel_Store_32,The Palace Hotel,3802,not green
133,30,2025-11-26,237.08,Command_Airways_Store_96,Command Airways,3222,not green
134,44,2025-08-02,34.74,Зарядка_электромобилей_Store_72,,5552,green
135,48,2025-09-04,195.22,"Авиалинии,_авиакомпании_Store_69","Авиалинии, авиакомпании",3126,not green
136,37,2025-07-22,1420.85,Категория_неизвестна_Store_34,Категория неизвестна,4304,not green
137,20,2025-09-04,356.08,Sarova_Hotels_Store_96,Sarova Hotels,3636,not green
138,25,2025-10-10,1122.72,Агентства_по_аренде_автомобилей_Store_75,Агентства по аренде автомобилей,3402,not green
139,12,2025-10-29,2104.1,Автошины_Store_55,Автошины,5532,not green
140,21,2025-10-21,740.14,Greenbriah_Resorts_Store_75,Greenbriah Resorts,3753,not green
141,25,2025-11-18,1249.16,Различные_продовольственные_магазины_-_нигде_более_не_классифицированные_Store_52,Различные продовольственные магазины - нигде более не классифицированные,5499,not green
142,11,2025-06-29,228.33,Union_de_Transports_Aeriens_Store_47,Union de Transports Aeriens,3027,not green
143,9,2025-07-06,1291.08,"Цифровые_товары_-_аудиовизуальные_медиа,_включая_книги,_фильмы_и_музыку_Store_29","Цифровые товары - аудиовизуальные медиа, включая книги, фильмы и музыку",5815,green
144,50,2025-06-13,326.5,_Affiliated_Auto_Rental_Store_18, Affiliated Auto Rental,3351,not green
145,25,2025-11-07,187.41,Продажа_жилых_фургонов_Store_66,Продажа жилых фургонов,5271,not green
146,35,2025-08-10,3342.91,_Snappy_Car_Rental_Store_64, Snappy Car Rental,3360,not green
147,32,2025-08-25,395.42,Riviera_Hotel_And_Casino_Store_12,Riviera Hotel And Casino,3737,not green
148,49,2025-06-28,197.84,Спорттовары_Store_97,Спорттовары,5941,green
149,14,2025-08-05,617.12,Aeromexico_Store_7,Aeromexico,3076,not green
150,1,2025-11-17,136.21,"Отели,_мотели,_курорты_Store_15","Отели, мотели, курорты",3790,not green
151,17,2025-07-15,114.93,Wyndham_Hotel_And_Resorts_Store_20,Wyndham Hotel And Resorts,3722,not green
152,25,2025-08-01,327.07,"Отели,_мотели,_курорты_Store_81","Отели, мотели, курорты",3546,not green
153,8,2025-10-12,95.57,"Отели,_мотели,_курорты_Store_21","Отели, мотели, курорты",3797,not green
154,5,2025-06-28,251.02,"Экосистемы,_для_которых_НСПК_определила_специфические_MCC_Store_88","Экосистемы, для которых НСПК определила специфические MCC",3993,not green
155,5,2025-06-28,108.66,Прямой_маркетинг_–_торговля_по_каталогам_Store_55,Прямой маркетинг – торговля по каталогам,5964,not green
156,41,2025-09-16,1075.26,Sheraton_Hotels_Store_77,Sheraton Hotels,3503,not green
157,35,2025-07-14,2174.52,National_Banks_(RCL_Internal)_Store_9,National Banks (RCL Internal),6025,not green
158,19,2025-08-23,100.52,Comfort_Inns_Store_50,Comfort Inns,3562,not green
159,23,2025-06-30,3400.2,"Авиалинии,_авиакомпании_Store_49","Авиалинии, авиакомпании",3126,not green
160,9,2025-08-14,863.07,_Tilden_Tent-a-car_Store_77, Tilden Tent-a-car,3396,not green
161,30,2025-10-06,514.4,Jolly_Hotels_Store_60,Jolly Hotels,3558,not green
162,50,2025-08-31,87.99,Norwegian_Air_Shuttle_Store_68,Norwegian Air Shuttle,3211,not green
163,16,2025-10-07,78.15,Услуги_ухода_за_детьми_Store_33,,8351,not green
164,33,2025-09-29,389.14,Hyatt_Place_Store_71,Hyatt Place,3812,not green
165,2,2025-06-27,339.46,"Авиалинии,_авиакомпании_Store_2",,3264,not green
166,14,2025-09-29,300.44,Права_требования_на_ценности_—_Финансовые_организации_Store_88,Права требования на ценности — Финансовые организации,6535,not green
167,46,2025-09-24,423.56,"Авиалинии,_авиакомпании_Store_93","Авиалинии, авиакомпании",3290,not green
168,1,2025-06-03,197.47,Ibusz_Hotels_Store_15,Ibusz Hotels,3673,not green
169,26,2025-09-11,322.5,Агентства_по_аренде_автомобилей_Store_88,Агентства по аренде автомобилей,3413,not green
170,25,2025-11-02,401.65,Travelodge_Store_69,Travelodge,3615,not green
171,16,2025-10-15,5276.96,Mesa_Air_Store_97,Mesa Air,3178,not green
172,15,2025-08-01,41.69,"Цифровые_товары_-_аудиовизуальные_медиа,_включая_книги,_фильмы_и_музыку_Store_35","Цифровые товары - аудиовизуальные медиа, включая книги, фильмы и музыку",5815,green
173,26,2025-11-12,587.19,Услуги_стенографии_и_секретарского_дела_Store_99,Услуги стенографии и секретарского дела,7339,not green
174,47,2025-07-21,438.96,Pullman_International_Hotels_Store_83,Pullman International Hotels,3519,not green
175,44,2025-11-19,411.76,Canopy_Store_44,Canopy,3833,not green
176,16,2025-10-30,581.98,Услуги_буксировки_и_эвакуации_Store_15,Услуги буксировки и эвакуации,7549,not green
177,14,2025-07-29,2930.59,Scandic_Hotels_Store_38,Scandic Hotels,3655,not green
178,29,2025-09-26,569.82,Платежная_операция_-_продавец_Store_56,Платежная операция - продавец,6533,not green
179,24,2025-11-07,90.5,Кемпинги_и_трейлер-парки_Store_21,Кемпинги и трейлер-парки,7033,not green
180,47,2025-09-04,577.83,, Auto Host Cost Car Rentals,3400,not green
181,15,2025-11-27,343.86,Riviera_Hotel_And_Casino_Store_1,,3737,not green
182,19,2025-09-21,217.78,Wizz_Air_Store_93,Wizz Air,3301,not green
183,8,2025-08-01,486.4,Бизнес_услуги_–_нигде_более_не_классифицированные_Store_93,,7399,not green
184,34,2025-07-22,358.55,Пассажирские_железнодорожные_перевозки_Store_34,Пассажирские железнодорожные перевозки,4112,green
185,2,2025-06-12,321.46,"Отели,_мотели,_курорты_Store_65","Отели, мотели, курорты",3793,not green
186,27,2025-07-09,364.28,"Клубы_–_загородные_клубы,_членство_(отдых,_спорт),_частные_поля_для_гольфа_Store_98","Клубы – загородные клубы, членство (отдых, спорт), частные поля для гольфа",7997,green
187,10,2025-10-08,124.59,,Jet Airways,3056,not green
188,35,2025-10-09,826.22,"Отели,_мотели,_курорты_Store_65","Отели, мотели, курорты",3605,not green
189,23,2025-09-21,351.52,Air_Mauritius_Store_14,Air Mauritius,3298,not green
190,49,2025-09-09,525.6,Товары_недлительного_пользования_-_нигде_более_не_классифицированные_Store_81,Товары недлительного пользования - нигде более не классифицированные,5199,not green
191,8,2025-09-21,169.78,Flag_Inn_Store_39,Flag Inn,3664,not green
192,28,2025-08-20,131.71,Bar_Harbor_Airlines_Store_82,Bar Harbor Airlines,3239,not green
193,23,2025-09-21,278.2,Агентства_по_аренде_автомобилей_Store_65,Агентства по аренде автомобилей,3415,not green
194,4,2025-06-02,391.91,Townplace_Suites_Store_78,Townplace Suites,3740,not green
195,14,2025-10-08,267.47,Air_Zaire_Store_26,Air Zaire,3151,not green
196,42,2025-07-24,439.6,I-Purchasing_Pilot_Store_20,,9034,not green
197,29,2025-08-26,46.87,Motel_6_Store_48,Motel 6,3700,not green
198,1,2025-10-07,2992.13,_Europ_Car_Store_98, Europ Car,3381,not green
199,4,2025-10-25,187.51,Hoteles_Melia_Store_21,Hoteles Melia,3548,not green
200,32,2025-10-04,126.63,Aero_Coach_Aviation_Store_70,Aero Coach Aviation,3287,not green
201,33,2025-10-08,1265.83,"Компьютерные_сети,_информационные_услуги_Store_100","Компьютерные сети, информационные услуги",4816,not green
202,49,2025-07-23,126.11,China_Airlines_Store_68,China Airlines,3078,not green
203,26,2025-11-19,493.72,Motel_6_Store_1,Motel 6,3700,not green
204,17,2025-11-07,126.09,"Отели,_мотели,_курорты_Store_77","Отели, мотели, курорты",3785,not green
205,39,2025-11-07,297.71,Ортопедические_товары_Store_42,Ортопедические товары,5976,not green
206,23,2025-08-07,301.44,Sandman_Inns_Store_63,Sandman Inns,3705,not green
207,32,2025-11-30,190.5,Книжные_магазины_Store_3,Книжные магазины,5942,not green
208,15,2025-10-01,967.84,_Insurance_Rent-a-car_Store_15, Insurance Rent-a-car,3429,not green
209,13,2025-10-23,1664.17,Садовые_принадлежности_(в_том_числе_для_ухода_за_газонами)_в_розницу_Store_47,Садовые принадлежности (в том числе для ухода за газонами) в розницу,5261,green
210,2,2025-07-08,187.66,Агентства_по_прокату_автомобилей_-_нигде_более_не_классифицированные_Store_40,Агентства по прокату автомобилей - нигде более не классифицированные,7512,green
211,19,2025-06-24,459.77,Stakis_Hotels_Store_31,Stakis Hotels,3666,not green
212,24,2025-08-08,107.76,"Отели,_мотели,_курорты_Store_8","Отели, мотели, курорты",3783,not green
213,45,2025-09-24,448.44,"Цифровые_товары_-_аудиовизуальные_медиа,_включая_книги,_фильмы_и_музыку_Store_31","Цифровые товары - аудиовизуальные медиа, включая книги, фильмы и музыку",5815,green
214,24,2025-09-06,916.95,Магазины_палаток_и_навесов_Store_73,Магазины палаток и навесов,5998,not green
215,11,2025-10-17,451.53,Магазины_звукозаписи_Store_11,Магазины звукозаписи,5735,not green
216,22,2025-10-22,228.94,Лимузины_и_такси_Store_11,Лимузины и такси,4121,green
217,15,2025-09-05,312.3,Northwest_Airlines_Store_94,Northwest Airlines,3060,not green
218,10,2025-10-02,249.23,Пассажирские_железнодорожные_перевозки_Store_63,Пассажирские железнодорожные перевозки,4112,green
219,41,2025-08-09,326.73,Агентства_по_аренде_автомобилей_Store_9,Агентства по аренде автомобилей,3406,not green
220,27,2025-09-01,210.03,,Флористика,5992,green
221,9,2025-06-03,479.63,Drury_Inns_Store_69,Drury Inns,3693,not green
222,28,2025-10-26,121.53,Зарядка_электромобилей_Store_99,Зарядка электромобилей,5552,green
223,1,2025-11-11,24.83,Air_Afrique_Store_17,Air Afrique,3083,not green
224,17,2025-10-25,1170.86,Агентства_по_аренде_автомобилей_Store_17,Агентства по аренде автомобилей,3372,not green
225,31,2025-08-29,380.6,"Авиалинии,_авиакомпании_Store_85","Авиалинии, авиакомпании",3274,not green
226,44,2025-10-25,454.12,Транзакция_по_финансированию_(исключая_MoneySend)_Store_61,Транзакция по финансированию (исключая MoneySend),6539,not green
227,10,2025-10-26,190.73,Скобяные_товары_в_розницу_Store_71,Скобяные товары в розницу,5251,not green
228,37,2025-09-04,262.33,Dolce_Hotels_and_Resorts_Store_22,Dolce Hotels and Resorts,3835,not green
229,29,2025-07-22,138.94,"Отели,_мотели,_курорты_Store_34","Отели, мотели, курорты",3602,not green
230,18,2025-11-08,1309.37,Golden_Chain_Hotel_Store_68,Golden Chain Hotel,3712,not green
231,47,2025-11-15,244.23,Opryland_Hotel_Store_78,Opryland Hotel,3732,not green
232,38,2025-10-06,86.08,"Авиалинии,_авиакомпании_Store_55","Авиалинии, авиакомпании",3210,not green
233,39,2025-07-09,792.89,"Колледжи,_университеты,_профессиональные_училища_и_техникумы_Store_28","Колледжи, университеты, профессиональные училища и техникумы",8220,green
234,49,2025-08-21,1255.27,Clubcorp/club_Resorts_Store_70,Clubcorp/club Resorts,3747,not green
235,6,2025-09-12,336.11,Автобусные_линии_Store_97,Автобусные линии,4131,green
236,40,2025-10-07,1825.74,Havasu_Airlines_Store_94,Havasu Airlines,3197,not green
237,12,2025-06-11,541.53,"Отели,_мотели,_курорты_Store_89","Отели, мотели, курорты",3781,not green
238,14,2025-11-25,355.94,"Обивка,_ремонт_и_отделка_мебели_Store_26","Обивка, ремонт и отделка мебели",7641,not green
239,44,2025-10-29,367.98,Магазины_художественных_и_ремесляных изделий_Store_92,Магазины художественных и ремесляных изделий,5970,not green
240,10,2025-11-06,664.57,Врачи_–_нигде_более_не_классифицированные_Store_40,Врачи – нигде более не классифицированные,8011,not green
241,20,2025-07-12,1185.22,Aeromexico_Store_52,Aeromexico,3076,not green
242,15,2025-09-07,678.76,Начальная_и_средняя_школы_Store_86,Начальная и средняя школы,8211,green
243,31,2025-06-07,523.61,Магазины_репродукций_и_антиквариата_Store_84,Магазины репродукций и антиквариата,5937,not green
244,7,2025-10-22,433.12,"Авиалинии,_авиакомпании_Store_48","Авиалинии, авиакомпании",3119,not green
245,41,2025-08-29,813.48,"Авиалинии,_авиакомпании_Store_57","Авиалинии, авиакомпании",3123,not green
246,10,2025-09-20,213.29,_Europ_Car_Store_67, Europ Car,3381,not green
247,10,2025-07-30,89.25,"Агентства_по_автотранспортным_перевозкам,_местные/_дальные_автогрузоперевозки,_компании_попереезду_и_хранению,_местная_доставка_Store_58","Агентства по автотранспортным перевозкам, местные/ дальные автогрузоперевозки, компании попереезду и хранению, местная доставка",4214,not green
248,48,2025-09-21,485.65,Аптеки_Store_16,Аптеки,5912,green
249,39,2025-06-02,146.64,Железные_дороги_–_перевозка_грузов_Store_32,Железные дороги – перевозка грузов,4011,green
250,28,2025-10-07,90.66,Платежи_по_залогам_и_облигациям_Store_29,Платежи по залогам и облигациям,9223,not green
251,30,2025-07-18,2036.14,Публичные_поля_для_гольфа_Store_9,Публичные поля для гольфа,7992,green
252,37,2025-10-18,14.54,"Отели,_мотели,_курорты_Store_44","Отели, мотели, курорты",3610,not green
253,3,2025-07-07,753.19,Rantasipi_Hotels_Store_3,Rantasipi Hotels,3674,not green
254,50,2025-11-07,137.69,Лимузины_и_такси_Store_76,Лимузины и такси,4121,green
255,43,2025-06-09,180.8,Hilton_International_Store_71,,3535,not green
256,15,2025-09-07,621.42,El_Al_Store_30,El Al,3032,not green
257,21,2025-10-25,4136.97,"Спортивная_одежда,_одежда_для_верховой_езды_и_езды_на_мотоцикле_Store_76","Спортивная одежда, одежда для верховой езды и езды на мотоцикле",5655,green
258,37,2025-07-18,813.32,Amelia_Island_Planation_Store_29,Amelia Island Planation,3754,not green
259,12,2025-10-09,145.52,Rank_Hotels_Store_1,Rank Hotels,3633,not green
260,4,2025-10-26,385.49,"Образовательные_услуги,__нигде_более_не_классифицированные_Store_10","Образовательные услуги,  нигде более не классифицированные",8299,green
261,47,2025-10-30,302.34,Colorado_Belle/Edgewater_Resort_Store_91,Colorado Belle/Edgewater Resort,3736,not green
